"RSI_n","Stoch_K_n","Stoch_D_n","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
14,14,7,236040.800086017,229778.727278263,83.3333333333333,68084.6107143738
14,10,7,232926.722329656,216895.017665908,83.3333333333333,64232.3278992879
14,7,7,227803.686858647,220298.082941144,83.3333333333333,68340.1074569132
14,10,3,224448.959401203,204336.447455556,83.3333333333333,75689.508096941
14,14,5,224428.070520371,222393.653326454,83.3333333333333,56181.4616179239
14,14,3,217271.313747666,215099.999789671,83.3333333333333,50050.6337318614
14,10,5,217153.785027646,220712.518428058,83.3333333333333,61827.6360039433
14,5,3,205998.550083596,192153.82521414,83.3333333333333,46468.8328996816
14,5,7,205263.034113974,209149.474313953,83.3333333333333,65927.5286596202
14,5,5,204817.163150847,198070.819172734,83.3333333333333,69698.7416185054
14,7,3,203524.166402488,212372.887461042,83.3333333333333,58676.6710683733
14,7,5,201327.767222004,189008.673941823,83.3333333333333,62682.0378582582
16,7,7,197275.379520987,139724.725778208,66.6666666666667,67822.4875552797
16,10,3,189621.579507547,156915.841881795,66.6666666666667,67984.0963174224
16,7,3,177501.839369133,160423.821776997,66.6666666666667,80555.7440767098
10,5,7,175188.093623246,166602.423284981,83.3333333333333,69315.5506904703
16,14,3,173135.452463993,163092.707458648,66.6666666666667,70990.9472144294
10,7,7,167963.035432917,158242.293917279,83.3333333333333,59540.8477222026
16,5,7,165594.667329876,144631.090939555,66.6666666666667,62176.7734903527
10,5,5,162209.370338692,158662.748938502,83.3333333333333,64023.5427878052
16,10,5,160416.83302992,126270.008607228,66.6666666666667,61783.626051445
10,10,3,159727.534548243,145553.638177006,83.3333333333333,73669.975062674
10,14,7,159201.252262427,133427.328727869,83.3333333333333,58918.5720976421
16,10,7,158818.96528804,143806.217733103,66.6666666666667,68654.9698230434
16,14,5,158234.930659028,143131.299742885,66.6666666666667,62377.4016964269
10,14,3,157134.227820653,144072.503328452,83.3333333333333,57559.2363275596
10,14,5,156657.895915125,146205.629138974,83.3333333333333,50127.3119921157
10,10,5,156583.668048269,148787.99930074,83.3333333333333,50812.8733042014
10,10,7,155808.620701072,163186.67126959,83.3333333333333,55877.3377420756
10,7,3,154050.793942752,145351.227875547,66.6666666666667,73395.7914280435
10,5,3,153005.668423294,147885.925939265,66.6666666666667,55292.726421647
16,14,7,150553.695800093,134028.882409415,66.6666666666667,63254.1555633545
10,7,5,150525.887767549,138054.916979864,66.6666666666667,72088.4143326482
16,5,3,143461.078259874,130400.033404006,83.3333333333333,83126.2247126436
20,5,3,137887.590232604,147790.020088771,66.6666666666667,87879.019232149
16,5,5,137783.328069525,137129.747740561,66.6666666666667,74529.2714404249
16,7,5,137571.079987649,126532.535112303,66.6666666666667,72833.767173202
20,5,5,135928.94962937,134828.809072406,66.6666666666667,85744.380210219
20,10,7,135278.397879301,132573.015128319,83.3333333333333,78014.9482892865
20,7,5,130044.120891434,135538.284583706,66.6666666666667,79501.4700992894
20,10,3,125839.384898396,124784.993667385,83.3333333333333,84666.4871248651
20,7,3,125239.388355085,128597.013295524,66.6666666666667,82997.0938334554
20,5,7,125086.437678264,128646.466625742,66.6666666666667,84877.7071647966
20,14,3,124641.985027221,132426.595533642,66.6666666666667,73441.1782862514
20,14,7,124379.083663059,134894.1070098,83.3333333333333,82038.1891032452
20,14,5,124330.817749711,134909.124282568,83.3333333333333,82193.7238759101
20,7,7,122848.789057442,128611.856146069,66.6666666666667,84694.4860936237
20,10,5,121647.883248994,132714.100715593,66.6666666666667,76377.4900103801
